nombre,precio,descripcion,categoria,sku,stock
iPhone 15 Pro,1199.99,El smartphone más avanzado de Apple con chip A17 Pro,Smartphones,IPH15PRO,50
MacBook Air M3,1299.00,Portátil ultradelgado con procesador M3 y pantalla Liquid Retina,Computadoras,MBA-M3,25
AirPods Pro 2,249.99,Auriculares inalámbricos con cancelación activa de ruido,Audio,AIRPODS-PRO2,100
iPad Air,599.00,Tablet versátil con chip M1 y pantalla de 10.9 pulgadas,Tablets,IPAD-AIR-M1,30
Apple Watch Series 9,399.00,Reloj inteligente con GPS y monitor de salud avanzado,Wearables,AW-S9,75
Magic Mouse,79.00,Ratón inalámbrico con superficie Multi-Touch,Accesorios,MAGIC-MOUSE,200
Magic Keyboard,149.00,Teclado inalámbrico con retroiluminación LED,Accesorios,MAGIC-KB,150
Studio Display,1599.00,Monitor 5K con cámara Center Stage y altavoces integrados,Monitores,STUDIO-DISPLAY,20
AirTag 4-pack,99.00,Localizador Bluetooth para encontrar objetos perdidos,Accesorios,AIRTAG-4PK,300
HomePod mini,99.00,Altavoz inteligente con Siri y audio espacial,Audio,HOMEPOD-MINI,80
